timestamp,open,high,low,close,volume
2024-04-17T01:30:00+05:30,1.06295,1.06319,1.06177,1.06211,9155.0
2024-04-17T02:30:00+05:30,1.06212,1.06229,1.06167,1.06197,1596.0
2024-04-17T03:30:00+05:30,1.06217,1.06313,1.06155,1.06175,4024.0
2024-04-17T04:30:00+05:30,1.06176,1.062,1.06128,1.06198,2045.0
2024-04-17T05:30:00+05:30,1.06198,1.06254,1.06194,1.06212,4201.0
2024-04-17T06:30:00+05:30,1.06213,1.06241,1.06173,1.06219,5365.0
2024-04-17T07:30:00+05:30,1.06218,1.06299,1.06204,1.06277,7154.0
2024-04-17T08:30:00+05:30,1.06278,1.06358,1.06272,1.06332,5220.0
2024-04-17T09:30:00+05:30,1.06332,1.06346,1.06272,1.06277,3035.0
2024-04-17T10:30:00+05:30,1.06275,1.06313,1.06236,1.06238,2119.0
2024-04-17T11:30:00+05:30,1.06237,1.0624,1.06099,1.06109,3836.0
2024-04-17T12:30:00+05:30,1.06109,1.0638,1.06061,1.06311,13136.0
2024-04-17T13:30:00+05:30,1.06311,1.06344,1.06243,1.06247,9434.0
2024-04-17T14:30:00+05:30,1.06247,1.0649,1.06241,1.06374,15889.0
2024-04-17T15:30:00+05:30,1.06375,1.06488,1.06355,1.06426,11615.0
2024-04-17T16:30:00+05:30,1.06426,1.0647,1.06382,1.06398,7011.0
2024-04-17T17:30:00+05:30,1.06398,1.06492,1.06323,1.0638,8041.0
2024-04-17T18:30:00+05:30,1.0638,1.06429,1.06317,1.0636,12296.0
2024-04-17T19:30:00+05:30,1.0636,1.06529,1.06347,1.06433,15779.0
2024-04-17T20:30:00+05:30,1.06432,1.06446,1.06301,1.0637,13198.0
2024-04-17T21:30:00+05:30,1.0637,1.06462,1.06364,1.06417,12860.0
2024-04-17T22:30:00+05:30,1.06415,1.06565,1.06361,1.06494,11366.0
2024-04-17T23:30:00+05:30,1.06497,1.06691,1.0649,1.0669,12175.0
2024-04-18T00:30:00+05:30,1.0669,1.06797,1.06683,1.06683,11826.0
2024-04-18T01:30:00+05:30,1.06683,1.06723,1.06645,1.06723,10581.0
2024-04-18T02:30:00+05:30,1.06724,1.06743,1.06697,1.06741,3427.0
2024-04-18T03:30:00+05:30,1.06733,1.06758,1.06709,1.06751,2581.0
2024-04-18T04:30:00+05:30,1.06752,1.06755,1.06716,1.06726,1332.0
2024-04-18T05:30:00+05:30,1.06726,1.06739,1.06681,1.06682,1229.0
2024-04-18T06:30:00+05:30,1.06683,1.06711,1.06646,1.0671,3401.0
2024-04-18T07:30:00+05:30,1.06711,1.06741,1.06646,1.06703,5244.0
2024-04-18T08:30:00+05:30,1.06704,1.06792,1.06691,1.06781,8988.0
2024-04-18T09:30:00+05:30,1.0678,1.06804,1.06755,1.06794,3667.0
2024-04-18T10:30:00+05:30,1.06793,1.068,1.06758,1.06786,2769.0
2024-04-18T11:30:00+05:30,1.06784,1.06841,1.06751,1.0682,4337.0
2024-04-18T12:30:00+05:30,1.06821,1.06901,1.06821,1.06833,6236.0
2024-04-18T13:30:00+05:30,1.06833,1.06882,1.06785,1.06787,8905.0
2024-04-18T14:30:00+05:30,1.06784,1.0684,1.06749,1.06782,8746.0
2024-04-18T15:30:00+05:30,1.06784,1.06815,1.067,1.06711,5340.0
2024-04-18T16:30:00+05:30,1.06713,1.06773,1.06703,1.0677,6241.0
2024-04-18T17:30:00+05:30,1.06771,1.06792,1.06702,1.06785,6250.0
2024-04-18T18:30:00+05:30,1.06784,1.06798,1.06599,1.06624,18993.0
2024-04-18T19:30:00+05:30,1.06623,1.06687,1.06466,1.06503,19655.0
2024-04-18T20:30:00+05:30,1.06505,1.06634,1.06499,1.06561,17259.0
2024-04-18T21:30:00+05:30,1.06562,1.06649,1.0654,1.06603,8254.0
2024-04-18T22:30:00+05:30,1.06604,1.06619,1.06517,1.06538,5227.0
2024-04-18T23:30:00+05:30,1.06538,1.06549,1.06431,1.06484,6759.0
2024-04-19T00:30:00+05:30,1.06484,1.06495,1.06421,1.06457,6638.0
2024-04-19T01:30:00+05:30,1.06458,1.06484,1.06427,1.06433,4406.0
2024-04-19T02:30:00+05:30,1.06434,1.06459,1.06415,1.06444,2142.0
2024-04-19T03:30:00+05:30,1.06444,1.0646,1.0643,1.06433,2699.0
2024-04-19T04:30:00+05:30,1.06433,1.06447,1.06406,1.06407,682.0
2024-04-19T05:30:00+05:30,1.06409,1.06441,1.06403,1.0642,2183.0
2024-04-19T06:30:00+05:30,1.0642,1.06448,1.06362,1.06387,6641.0
2024-04-19T07:30:00+05:30,1.06388,1.06401,1.06136,1.06187,16159.0
2024-04-19T08:30:00+05:30,1.06188,1.06241,1.06107,1.06161,17359.0
2024-04-19T09:30:00+05:30,1.0616,1.06407,1.0616,1.06381,16132.0
2024-04-19T10:30:00+05:30,1.06381,1.06434,1.06339,1.0636,5859.0
2024-04-19T11:30:00+05:30,1.06359,1.0641,1.06287,1.06289,5105.0
2024-04-19T12:30:00+05:30,1.06289,1.06495,1.06273,1.06471,12734.0
2024-04-19T13:30:00+05:30,1.0647,1.06595,1.0644,1.06538,20765.0
2024-04-19T14:30:00+05:30,1.06538,1.06547,1.06433,1.0648,10447.0
2024-04-19T15:30:00+05:30,1.06482,1.06623,1.06472,1.06581,11368.0
2024-04-19T16:30:00+05:30,1.06581,1.06592,1.06464,1.06479,8051.0
2024-04-19T17:30:00+05:30,1.0648,1.06554,1.06432,1.06539,8351.0
2024-04-19T18:30:00+05:30,1.06538,1.06739,1.06497,1.0668,14454.0
2024-04-19T19:30:00+05:30,1.0668,1.06757,1.06589,1.06661,17600.0
2024-04-19T20:30:00+05:30,1.06663,1.06777,1.06639,1.06693,15443.0
2024-04-19T21:30:00+05:30,1.06692,1.0672,1.06537,1.06571,8632.0
2024-04-19T22:30:00+05:30,1.06572,1.06599,1.06404,1.06559,11856.0
2024-04-19T23:30:00+05:30,1.0656,1.06586,1.06511,1.06528,7283.0
2024-04-20T00:30:00+05:30,1.06527,1.06558,1.06467,1.06507,8466.0
2024-04-20T01:30:00+05:30,1.06509,1.06555,1.06499,1.06544,6941.0
2024-04-20T02:30:00+05:30,1.06544,1.0658,1.06533,1.06578,3914.0
2024-04-20T03:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T04:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T05:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T06:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T07:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T08:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T09:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T10:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T11:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T12:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T13:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T14:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T15:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T16:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T17:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T18:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-20T19:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
